,company_name,Type,Rating(K),Employees,Extra_Info
791,Suryoday Small Finance Bank,Banking,4.0,1k-5k Employees,Mumbai +134 more
792,Episource,IT Services & Consulting,3.8,1k-5k Employees,Gardena +10 more
793,Jubilant Pharmova,Pharma,4.0,1k-5k Employees,45 years old
794,HARMAN,Consumer Electronics & Appliances,3.8,5k-10k Employees,14 years old
795,Siemens Gamesa Renewable Energy,Power,4.1,1k-5k Employees,Chennai +46 more
796,Xyz Company,Financial Services,3.8,51-200 Employees (Global),
797,Sansera Engineering,Auto Components,4.1,501-1k Employees,37 years old
798,AIIMS,Healthcare,4.2,5k-10k Employees,Delhi/NCR +44 more
799,Adobe,Software Product,4.2,5k-10k Employees,26 years old
800,Thyrocare Technologies,Healthcare,3.4,1k-5k Employees,27 years old
801,Spinny,Internet,4.0,1k-5k Employees,8 years old
802,JSW Cement,Building Material,4.0,1k-5k Employees,14 years old
803,Podar International School,Education & Training,4.3,5k-10k Employees,Mumbai +96 more
804,Strides Pharma,Pharma,3.8,201-500 Employees,33 years old
805,Atos Global IT Solutions And Services,IT Services & Consulting,4.0,5k-10k Employees,Navi Mumbai +15 more
806,Mando Automotive,Auto Components,3.9,1k-5k Employees,17 years old
807,Sri Chaitanya Educational Institutions,Education & Training,3.8,51-200 Employees,Hyderabad/Secunderabad +69 more
808,Aditya Birla Health Insurance Co,Insurance,3.8,1k-5k Employees,Mumbai +141 more
809,Tietoevry,IT Services & Consulting,4.1,1k-5k Employees,55 years old
810,Intex Technologies,Consumer Electronics & Appliances,3.7,1k-5k Employees,27 years old
811,Godrej Consumer Products,FMCG,4.2,1k-5k Employees,22 years old
812,Decathlon,Retail,4.0,1k-5k Employees,Lille +60 more
813,Coca-Cola Company,Marketing & Advertising,4.3,201-500 Employees,137 years old
814,Sunknowledge Services,Healthcare,4.1,51-200 Employees,New York +6 more
815,Dhoot Transmission,Power,3.5,201-500 Employees,Mumbai +18 more
816,Hinduja Leyland Finance,FinTech,4.0,1k-5k Employees,Chennai +210 more
817,Kendriya Vidyalaya Sangathan,Education & Training,4.4,10k-50k Employees,60 years old
818,Automotive Manufacturers,Automobile,4.1,1k-5k Employees,Mumbai +108 more
819,Tata AutoComp Systems,Auto Components,3.9,1k-5k Employees,25 years old
820,Apexon,IT Services & Consulting,3.3,1k-5k Employees,Santa Clara +15 more
821,TechnipFMC,Oil & Gas,3.9,1k-5k Employees,Paris +38 more
822,Rockman Industries,Auto Components,3.8,1k-5k Employees,Delhi/NCR +28 more
823,TE Connectivity,Consumer Electronics & Appliances,4.1,501-1k Employees,82 years old
824,Hatsun Agro Product,FMCG,4.0,1k-5k Employees,53 years old
825,Lemon Tree Hotels,Hospitality,4.1,1k-5k Employees,21 years old
826,BGR Energy Systems,Oil & Gas,3.8,1k-5k Employees,38 years old
827,Kirloskar Oil Engines,Industrial Machinery,4.1,1k-5k Employees,77 years old
828,Viraj Profiles,Iron & Steel,3.8,1k-5k Employees,Mumbai +15 more
829,Schaeffler India,Auto Components,4.1,1k-5k Employees,77 years old
830,Worley,Engineering & Construction,4.0,1k-5k Employees,North Sydney +34 more
831,K12 Techno Services,EdTech,3.0,1k-5k Employees,Bangalore/Bengaluru +25 more
832,1point1 Solutions,BPO,3.4,5k-10k Employees,15 years old
833,Apotex Research,Pharma,4.4,201-500 Employees,Brantford +12 more
834,JK Lakshmi Cement,Building Material,3.9,1k-5k Employees,41 years old
835,Infinx,IT Services & Consulting,3.7,1k-5k Employees,Mumbai +21 more
836,Vistaar Finance,NBFC,4.2,1k-5k Employees,Bengaluru/Bangalore +158 more
837,RBL FinServe,Financial Services,4.1,5k-10k Employees,Mumbai +249 more
838,SLK Global Services,IT Services & Consulting,3.9,51-200 Employees,Dallas +8 more
839,R Systems International,IT Services & Consulting,3.5,1k-5k Employees,30 years old
840,MDIndia Health Insurance TPA,Insurance,3.9,5k-10k Employees,Pune +68 more
841,Parexel International,Healthcare,4.1,1k-5k Employees,Massachusetts +7 more
842,Onward Technologies Inc,IT Services & Consulting,3.3,1k-5k Employees,32 years old
843,VMware Software,Software Product,4.3,5k-10k Employees,25 years old
844,Wistron,Electronics Manufacturing,3.8,201-500 Employees,22 years old
845,Ceasefire Industries,Industrial Machinery,3.3,1k-5k Employees,Noida +65 more
846,Aarvee Associates,Engineering & Construction,3.8,1k-5k Employees,Hyderabad/Secunderabad +117 more
847,PNC Infratech,Engineering & Construction,3.9,5k-10k Employees,24 years old
848,Foxconn,Electronics Manufacturing,4.0,10k-50k Employees,Taipei +29 more
849,Morningstar,Financial Services,4.1,1k-5k Employees,Chicago +12 more
850,Novo Nordisk,Pharma,4.0,1k-5k Employees,100 years old
851,Godrej Properties,Real Estate,3.7,1k-5k Employees,33 years old
852,Shubham Housing Development Finance,NBFC,4.1,10k-50k Employees,Gurgaon +98 more
853,Shriram Life Insurance,Insurance,4.0,1k-5k Employees,18 years old
854,V2 Retail,Fashion & Textile,3.5,1k-5k Employees,22 years old
855,Hyundai Mobis,Auto Components,3.8,1k-5k Employees,6 years old
856,Dixon Technologies,Consumer Electronics & Appliances,4.0,1k-5k Employees,30 years old
857,Power Grid Corporation of India,Power,4.4,5k-10k Employees,34 years old
858,Barbeque Nation,Retail,4.0,5k-10k Employees,Bangalore/Bengaluru +59 more
859,Canara Bank,Banking,3.4,50k-1 Lakh Employees,117 years old
860,Gallagher Service Center,BPO,3.9,5k-10k Employees,
861,DCM Shriram,Chemicals,4.2,1k-5k Employees,33 years old
862,Feedback Infrastructure Services,Engineering & Construction,3.5,5k-10k Employees,Gurgaon/Gurugram +110 more
863,Hathway,Media & Entertainment,3.7,1k-5k Employees,Mumbai +45 more
864,Altimetrik,IT Services & Consulting,3.9,1k-5k Employees,Southfield +9 more
865,Tata Chemicals,Chemicals,4.1,1k-5k Employees,85 years old
866,The Ramco Cements,Building Material,4.2,1k-5k Employees,62 years old
867,Alstom,Urban Transport,3.9,5k-10k Employees,95 years old
868,TK Elevator,Industrial Machinery,4.0,1k-5k Employees,Essen +63 more
869,Sonata Software,IT Services & Consulting,3.8,1k-5k Employees,37 years old
870,Dana Anand,Auto Components,4.2,1k-5k Employees,Delhi/NCR +37 more
871,Urban Company,Internet,3.6,1k-5k Employees,8 years old
872,Shalby Hospitals,Healthcare,4.6,1k-5k Employees,29 years old
873,OM Logistics,Logistics,4.1,1k-5k Employees,Delhi/NCR +94 more
874,Provana,Software Product,3.8,501-1k Employees,Lisle +3 more
875,Bosch Chassis Systems,Auto Components,4.2,1k-5k Employees,Gerlingen +19 more
876,Intel,Semiconductors,4.3,10k-50k Employees,55 years old
877,Ion Exchange India,Waste Management,3.9,1k-5k Employees,59 years old
878,Spandana Sphoorty Financial,NBFC,3.6,10k-50k Employees,25 years old
879,Unicharm,Beauty & Personal Care,4.2,1k-5k Employees,62 years old
880,Edelweiss Tokio Life Insurance,Financial Services,3.9,1k-5k Employees,Mumbai +109 more
881,Fluor Corporation,Forbes Global 2000,4.3,Gurgaon/Gurugram +20 more,
882,Capacit'e Infraprojects,Engineering & Construction,3.6,501-1k Employees,11 years old
883,Kirloskar Brothers,Industrial Machinery,4.0,1k-5k Employees,135 years old
884,FLSmidth,Industrial Machinery,3.7,1k-5k Employees,Copenhagen +19 more
885,Hindustan Zinc,Metals & Mining,3.8,1k-5k Employees,57 years old
886,Barclays Global Service Centre,IT Services & Consulting,4.1,201-500 Employees,16 years old
887,Sundaram Clayton,Auto Components,4.0,1k-5k Employees,61 years old
888,UBS,Financial Services,3.9,5k-10k Employees,8 years old
889,Next Education India,EdTech,3.6,1k-5k Employees,Hyderabad/Secunderabad +75 more
890,Tube Investments of India,Automobile,4.0,1k-5k Employees,64 years old
891,Nilkamal,Furniture & Furnishing,3.9,1k-5k Employees,42 years old
892,Fidelity Investment,Financial Services,4.4,5k-10k Employees,Boston +11 more
893,ThyssenKrupp Industries India,Industrial Machinery,4.1,1k-5k Employees,76 years old
894,Toppr,EdTech,3.4,1k-5k Employees,10 years old
895,Nirma,Chemicals,4.3,10k-50k Employees,33 years old
896,VIP Industries,Retail,3.9,1k-5k Employees,52 years old
897,Orion Edutech,EdTech,3.1,5k-10k Employees,Kolkata +102 more
898,Colgate Palmolive,FMCG,4.2,1k-5k Employees,86 years old
899,Pricol,Auto Components,4.0,1k-5k Employees,48 years old
900,AstraZeneca,IT Services & Consulting,4.2,1k-5k Employees,24 years old
901,Hitachi Astemo,Auto Components,4.1,1k-5k Employees,
902,Trade India (Infocom Network Private Limited),Internet,3.3,1k-5k Employees,Noida +33 more
903,Columbia Asia,Healthcare,4.4,1k-5k Employees,Bangalore/Bengaluru +21 more
904,Pizza Hut,Hospitality,4.0,1k-5k Employees,Plano +87 more
905,Visionet Systems,IT Services & Consulting,3.2,1k-5k Employees,Cranbury +9 more
906,Airtel Payments Bank,FinTech,4.2,501-1k Employees,7 years old
907,Gmmco,Real Estate,4.1,1k-5k Employees,Chennai +75 more
908,iMerit,Software Product,3.9,1k-5k Employees,11 years old
909,Sundaram Finance,NBFC,4.2,1k-5k Employees,69 years old
910,Chetu,IT Services & Consulting,3.4,1k-5k Employees,Plantation +4 more
911,CSB Bank,Banking,3.4,1k-5k Employees,Thrissur/Trichur +125 more
912,Punjab National Bank,Banking,4.0,1 Lakh+ Employees,129 years old
913,C&S Electric,Electrical Equipment,3.9,5k-10k Employees,Delhi/NCR +43 more
914,eClinicalWorks,IT Services & Consulting,4.0,1k-5k Employees,Westborough +10 more
915,CarDekho,Internet,3.6,1k-5k Employees,15 years old
916,Bajaj Housing Finance,NBFC,3.8,1k-5k Employees,Pune +107 more
917,Perfetti Van Melle,Food Processing,4.3,1k-5k Employees,Lainate +106 more
918,CenturyPly,Furniture & Furnishing,4.0,1k-5k Employees,37 years old
919,GEP Worldwide,IT Services & Consulting,3.9,1k-5k Employees,Clark +8 more
920,Secure Meters,Electronics Manufacturing,4.1,1k-5k Employees,36 years old
921,Egis  India Consulting Engineers,Engineering & Construction,4.1,1k-5k Employees,Gurgaon/Gurugram +91 more
922,CADD Centre Training Services,Education & Training,4.0,1k-5k Employees,Chennai +122 more
923,LOREAL,Beauty & Personal Care,4.2,1k-5k Employees,32 years old
924,MakeMyTrip,Travel & Tourism,3.8,1k-5k Employees,23 years old
925,Mahindra First Choice Wheels,Automobile,3.9,201-500 Employees,Mumbai +101 more
926,Nykaa,Fitness & Wellness,3.5,1k-5k Employees,11 years old
927,Teva Pharmaceuticals,Pharma,4.2,1k-5k Employees,44 years old
928,Genius Consultants,Recruitment,3.7,201-500 Employees,Kolkata +71 more
929,MAHLE ANAND Filter Systems,Auto Components,4.2,501-1k Employees,Stuttgart +24 more
930,TEKsystems,IT Services & Consulting,3.7,1k-5k Employees,Hanover +8 more
931,Thomas Cook,Travel & Tourism,3.8,1k-5k Employees,142 years old
932,Dassault Systemes,Software Product,4.1,1k-5k Employees,42 years old
933,Diageo,Beverage,4.1,1k-5k Employees,26 years old
934,Colliers International,Real Estate,4.0,1k-5k Employees,Ontario +33 more
935,Syngenta,Agriculture,4.3,501-1k Employees,Basel +119 more
936,Nippon Paint India,Chemicals,4.0,1k-5k Employees,142 years old
937,Reliance AJIO,Internet,3.8,1k-5k Employees,Bengaluru +170 more
938,Exela Technologies,IT Services & Consulting,3.4,1k-5k Employees,Irving +14 more
939,Medplus(optival Health Solutions),501-1k Employees,3.6,Fortune India 500,Hyderabad +66 more
940,Amazon Logistics,Logistics,4.3,51-200 Employees,
941,INDO-MIM,Industrial Machinery,4.2,1k-5k Employees,Bangalore/Bengaluru +15 more
942,Brillio,IT Services & Consulting,3.6,1k-5k Employees,Edison +9 more
943,C.R.I. Pumps,Industrial Machinery,3.8,1k-5k Employees,Coimbatore +50 more
944,Ruchi Soya Industries,Food Processing,4.1,1k-5k Employees,37 years old
945,Ahluwalia Contracts India,Engineering & Construction,4.0,1k-5k Employees,58 years old
946,Imperial Auto Industries,Automobile,3.8,1k-5k Employees,54 years old
947,Karur Vysya Bank,Banking,3.7,5k-10k Employees,107 years old
948,Jakson Group,Power,3.9,1k-5k Employees,Noida +65 more
949,V5 Global Services,Recruitment,3.8,10k-50k Employees,Delhi/NCR +124 more
950,Huhtamaki,Packaging,3.9,1k-5k Employees,Espoo +30 more
951,Better.com,Financial Services,3.0,201-500 Employees,7 years old
952,FOCUS EDUMATICS,EdTech,2.8,5k-10k Employees,Bangalore/Bengaluru +6 more
953,Marks & Spencer,Retail,4.2,1k-5k Employees,139 years old
954,Pernod Ricard,Beverage,3.8,1k-5k Employees,48 years old
955,Neel Metal Products,Metals & Mining,4.1,201-500 Employees,
956,TNQ Technologies,Printing & Publishing,3.7,1k-5k Employees,Chennai +6 more
957,JTEKT,Auto Components,4.2,501-1k Employees,17 years old
958,Future Supply Chain Solutions,Logistics,4.3,1k-5k Employees,17 years old
959,ZF Steering Gear,Auto Components,3.7,501-1k Employees,108 years old
960,HFCL,Hardware & Networking,4.1,1k-5k Employees,36 years old
961,Yashoda Hospitals,Healthcare,3.9,501-1k Employees,Ghaziabad +18 more
962,Metropolis Healthcare,Healthcare,4.0,1k-5k Employees,43 years old
963,Qualcomm,Semiconductors,4.0,10k-50k Employees,27 years old
964,Pramerica Life Insurance,Insurance,4.0,1k-5k Employees,Gurgaon +113 more
965,Uber,Internet,4.2,1k-5k Employees,14 years old
966,Future Focus Infotech,IT Services & Consulting,3.5,5k-10k Employees,Chennai +49 more
967,Happiest Minds Technologies,IT Services & Consulting,4.0,1k-5k Employees,12 years old
968,THE LEELA PALACES HOTELS & RESORTS,Hospitality,4.0,1k-5k Employees,40 years old
969,Indusind Marketing & Financial Services,Financial Services,4.1,501-1k Employees,Chennai +240 more
970,Sykes Business Services Of India,BPO,3.5,10k-50k Employees,Tampa +17 more
971,Karvy Computershare,Hyderabad/Secunderabad +61 more,3.7,,
972,Karvy Stock Broking,1k-5k Employees,3.5,33 years old,
973,Kinara Capital,FinTech,4.4,1k-5k Employees,Bangalore +101 more
974,Incedo,IT Services & Consulting,3.6,1k-5k Employees,Iselin +9 more
975,Meril,Medical Equipment,3.9,1k-5k Employees,Vapi +56 more
976,KIMS Hospital,Healthcare,4.1,501-1k Employees,Hyderabad/Secunderabad +35 more
977,Centum Electronics,Electronics Manufacturing,3.8,1k-5k Employees,29 years old
978,Panacea Biotec,Biotechnology,3.8,1k-5k Employees,39 years old
979,Bank of India,Banking,3.9,50k-1 Lakh Employees,117 years old
980,Birla Corporation,Building Material,4.1,1k-5k Employees,104 years old
981,Evision Technoserve,Recruitment,4.6,201-500 Employees,Delhi/NCR +60 more
982,Troikaa Pharmaceuticals,Pharma,3.9,1k-5k Employees,Ahmedabad +64 more
983,Aviva Life Insurance India,Insurance,3.9,1k-5k Employees,327 years old
984,Greaves Cotton,Industrial Machinery,4.1,1k-5k Employees,164 years old
985,Air India,Aviation,4.1,10k-50k Employees,93 years old
986,CALIBEHR,Recruitment,3.8,1k-5k Employees,Mumbai +102 more
987,Patra Corporation,IT Services & Consulting,3.7,1k-5k Employees,El Dorado Hills +13 more
988,GAMMON INDIA,Engineering & Construction,3.8,11-50 Employees,101 years old
989,Skill Lync,EdTech,3.2,201-500 Employees,8 years old
990,KEI Industries,Electrical Equipment,4.1,1k-5k Employees,55 years old
991,Hikal,Pharma,4.0,1k-5k Employees,Mumbai +13 more
992,Vedanta Aluminium,Metals & Mining,3.9,1k-5k Employees,Jharsuguda +26 more
993,Sandvik Asia,Industrial Machinery,4.4,10k-50k Employees (Global),Stockholm +31 more
994,HT Media,Media & Entertainment,3.5,1k-5k Employees,99 years old
995,GVPR Engineers,Engineering & Construction,4.1,501-1k Employees,26 years old
996,Snapdeal,Internet,3.9,1k-5k Employees,13 years old
997,Reliance Capital,Financial Services,3.8,1k-5k Employees,18 years old
998,Shriram General Insurance,Insurance,3.7,10k-50k Employees,Jaipur +146 more
999,Fusion Microfinance,NBFC,4.0,5k-10k Employees,Delhi +169 more
1000,Visionary RCM Infotech,IT Services & Consulting,3.4,1k-5k Employees,Chennai +12 more
1001,Vedanta Resources,Metals & Mining,3.8,1k-5k Employees,47 years old
1002,Alok Industries,Fashion & Textile,3.7,10k-50k Employees,37 years old
1003,Acuity Knowledge Partners,Financial Services,3.7,1k-5k Employees,London +11 more
1004,Allianz Technology,IT Services & Consulting,4.5,1k-5k Employees,Munich +11 more
1005,SNC-Lavalin,Engineering & Construction,4.3,1k-5k Employees,112 years old
1006,Mswipe Technologies,FinTech,3.1,1k-5k Employees,Mumbai +74 more
1007,Parekh Integrated Services,Logistics,4.1,1k-5k Employees,Mumbai +67 more
1008,VeeTechnologies,IT Services & Consulting,3.7,1k-5k Employees,New York +19 more
1009,Napino Auto & Electronics,Auto Components,4.1,5k-10k Employees,26 years old
1010,PayPal,IT Services & Consulting,4.1,1k-5k Employees,25 years old
1011,Mu Sigma,Analytics & KPO,3.1,1k-5k Employees,19 years old
1012,Acme Cleantech Solutions,Industrial Machinery,3.8,1k-5k Employees,Gurgaon/Gurugram +78 more
1013,Vertiv,IT Services & Consulting,3.9,51-200 Employees (Global),7 years old
1014,Air India Sats Airport Services,Aviation,3.9,1k-5k Employees,Mumbai +25 more
1015,Precision Techserve,IT Services & Consulting,3.9,1k-5k Employees,Chennai +80 more
1016,United Breweries,Beverage,3.8,1k-5k Employees,166 years old
1017,Samasta Microfinance,Financial Services,4.1,5k-10k Employees,15 years old
1018,Samsung Engineering,Engineering & Construction,4.1,1k-5k Employees,Suwon-Si +43 more
1019,Willis Towers Watson,Financial Services,4.0,1k-5k Employees,7 years old
1020,Orchids International School,Education & Training,2.9,1k-5k Employees,Nasik/Nashik +25 more
1021,Bechtel,Engineering & Construction,4.1,1k-5k Employees,Reston +21 more
1022,Bayer Crop Science Vegetable Seeds,Hyderabad/Secunderabad +129 more,4.4,,
1023,B. G. Shirke Construction Technology,Engineering & Construction,4.1,1k-5k Employees,Pune +23 more
1024,Everest Industries,Building Material,4.1,1k-5k Employees,89 years old
1025,ICICI Prudential Mutual Fund,Financial Services,3.9,1k-5k Employees,New Delhi +124 more
1026,Tata Steel BSL,Metals & Mining,4.0,10k-50k Employees,36 years old
1027,Godfrey Phillips India,FMCG,4.2,1k-5k Employees,90 years old
1028,Duck Creek Technologies,Software Product,4.5,501-1k Employees,Boston +4 more
1029,Rashmi Metaliks,Metals & Mining,3.5,10k-50k Employees,Kolkata +20 more
1030,Natco Pharma,Pharma,3.9,1k-5k Employees,42 years old
1031,Renew Solar Power,Power,4.3,1k-5k Employees,Gurgaon +55 more
1032,Gharda Chemicals,Chemicals,4.1,1k-5k Employees,Mumbai +42 more
1033,Medha Servo Drives,Electronics Manufacturing,4.2,501-1k Employees,Hyderabad/Secunderabad +40 more
1034,Fareportal,Internet,3.4,1k-5k Employees,New York +8 more
1035,Knorr-Bremse,Auto Components,4.1,501-1k Employees,10 years old
1036,Samsung Electronics Corporation,Consumer Electronics & Appliances,4.2,1 Lakh+ Employees (Global),Noida +88 more
1037,Micromax Informatics,Consumer Electronics & Appliances,3.8,1k-5k Employees,Gurgaon/Gurugram +110 more
1038,Wheels,Auto Components,4.1,1k-5k Employees,61 years old
1039,Godrej Agrovet,Agriculture,4.1,1k-5k Employees,
1040,HPCL-Mittal Energy,1k-5k Employees,4.3,16 years old,
1041,Galfar,Engineering & Construction,4.2,1k-5k Employees,Muscat +30 more
1042,Aristo Pharmaceuticals,Pharma,4.1,1k-5k Employees,Mumbai +73 more
1043,Softenger,IT Services & Consulting,4.1,501-1k Employees,Pune +24 more
1044,CRB Tech Solution,EdTech,4.2,501-1k Employees,Pune +7 more
1045,Varroc Polymers,Auto Components,3.9,201-500 Employees,Aurangabad +28 more
1046,Sandhar Technologies,Auto Components,3.8,1k-5k Employees,36 years old
1047,Indira IVF Hospital,Healthcare,4.0,1k-5k Employees,Mumbai +77 more
1048,DLF,Real Estate,4.0,501-1k Employees,77 years old
1049,Suzuki Motorcycle,Automobile,4.1,1k-5k Employees,Hamamatsu +89 more
1050,Amara Raja Group,Electrical Equipment,4.1,10k-50k Employees,38 years old
1051,Centre for Development of Advanced Computing,IT Services & Consulting,3.8,1k-5k Employees,Pune +25 more
1052,Star Cement,Building Material,4.0,1k-5k Employees,22 years old
1053,Atlas Copco,Industrial Machinery,4.2,1k-5k Employees,150 years old
1054,DuPont,Chemicals,4.2,1k-5k Employees,Wilmington +47 more
1055,Kotak Mahindra Prime,Banking,4.0,10k-50k Employees,27 years old
1056,Prodapt,IT Services & Consulting,3.7,1k-5k Employees,Chennai +9 more
1057,Federal Bank,Banking,3.9,10k-50k Employees,92 years old
1058,Test Yantra Software Solutions,IT Services & Consulting,3.4,1k-5k Employees,16 years old
1059,Page Industries,Fashion & Textile,4.3,10k-50k Employees,29 years old
1060,Lakshmi Machine Works,Industrial Machinery,4.0,1k-5k Employees,61 years old
1061,Greenko Group,Power,3.8,1k-5k Employees,Hyderabad +49 more
1062,General Mills,IT Services & Consulting,4.2,1k-5k Employees,95 years old
1063,National Health Mission,Healthcare,3.7,10k-50k Employees,Guwahati +193 more
1064,Timken,Industrial Machinery,4.0,1k-5k Employees,25 years old
1065,Aarvi Encon,BPO,3.9,1k-5k Employees,36 years old
1066,GlaxoSmithKline Consumer Healthcare,Pharma,4.5,1k-5k Employees,23 years old
1067,Pristyn Care,Healthcare,3.5,1k-5k Employees,5 years old
1068,Aspire Systems,IT Services & Consulting,3.9,1k-5k Employees,Oak Brook +12 more
1069,More Supermarket,Retail,3.8,10k-50k Employees,Mumbai +100 more
1070,Sheenlac Paints,Chemicals,4.5,501-1k Employees,61 years old
1071,Telenor,Telecom,4.5,501-1k Employees,14 years old
1072,Rupeek,FinTech,3.7,1k-5k Employees,8 years old
1073,Capri Global Capital,NBFC,3.9,1k-5k Employees,26 years old
1074,IDFC FIRST Bharat,NBFC,4.2,5k-10k Employees,Tiruchirappalli +200 more
1075,Medlife,Internet,3.7,1k-5k Employees,9 years old
1076,Leadec India,Facility Management Services,3.9,1k-5k Employees,Stuttgart +42 more
1077,Chandigarh University,Education & Training,4.1,1k-5k Employees,Mohali +33 more
1078,Aditya Birla Finance,Financial Services,3.9,10k-50k Employees,Mumbai +107 more
1079,Pacific BPO,BPO,3.6,1k-5k Employees,Noida +10 more
1080,Kohler,Furniture & Furnishing,3.9,1k-5k Employees,Kohler +35 more
1081,Zoho,Software Product,4.3,10k-50k Employees,Chennai +18 more
1082,LEAD School,EdTech,3.2,1k-5k Employees,10 years old
1083,Medusind Solutions,IT Services & Consulting,3.9,1k-5k Employees,Mumbai +7 more
1084,Michelin,Auto Components,3.9,1k-5k Employees,Clermont-Ferrand +37 more
1085,T-SYSTEMS ICT INDIA,IT Services & Consulting,4.0,1k-5k Employees,7 years old
1086,Otis Elevator,Industrial Machinery,4.0,1k-5k Employees,Farmington +53 more
1087,DAV Public School,Education & Training,4.0,1 Lakh+ Employees,Delhi/NCR +128 more
1088,Capital Numbers Infotech,IT Services & Consulting,4.7,501-1k Employees,Kolkata +5 more
1089,Artech Infosystems,1k-5k Employees,3.6,31 years old,
1090,Aparna Constructions and Estates,Real Estate,4.1,1k-5k Employees,Hyderabad/Secunderabad +15 more
1091,ValueMomentum,IT Services & Consulting,3.5,1k-5k Employees,Piscataway +6 more
1092,Musashi Auto Parts,Auto Components,4.0,1k-5k Employees,Gurgaon/Gurugram +13 more
1093,Webhelp,BPO,3.8,1k-5k Employees,Paris +10 more
1094,Dunzo,Internet,3.5,1k-5k Employees,9 years old
1095,Sanden Vikas,Auto Components,3.8,1k-5k Employees,Faridabad +19 more
1096,Bridge & Roof Co,Engineering & Construction,3.6,1k-5k Employees,103 years old
1097,Allscripts,IT Services & Consulting,4.2,1k-5k Employees,Chicago +5 more
1098,SFO Technologies,Electronics Manufacturing,3.6,1k-5k Employees,Kochi/Cochin +11 more
1099,Navayuga Engineering Company,Engineering & Construction,4.1,501-1k Employees,Hyderabad/Secunderabad +55 more
1100,Kalpataru Group,Real Estate,3.8,1k-5k Employees,54 years old
1101,Genpact Headstrong Capital Markets,IT Services & Consulting,3.8,1k-5k Employees,New Delhi +16 more
1102,Grant Thornton,Accounting & Auditing,3.8,5k-10k Employees,Chicago +38 more
1103,Cult.fit,Internet,3.7,1k-5k Employees,7 years old
1104,H.G. Infra Engineering,Engineering & Construction,4.2,1k-5k Employees,20 years old
1105,Carnival Cruise Lines,Sports & Recreation,4.5,1k-5k Employees,51 years old
1106,Defence Research & Development Organisation,Defence & Aerospace,4.4,10k-50k Employees,65 years old
1107,Schlumberger,Oil & Gas,4.2,5k-10k Employees,97 years old
1108,OLX,IT Services & Consulting,3.9,1k-5k Employees,Gurgaon +43 more
1109,Netscribes,Analytics & KPO,3.0,1k-5k Employees,New York +6 more
1110,Physicswallah,EdTech,4.0,10k-50k Employees,4 years old
1111,ICCS,BPO,3.2,501-1k Employees,Delhi/NCR +18 more
1112,OCS Group,Facility Management Services,3.9,10k-50k Employees,Mumbai +41 more
1113,GirnarSoft,IT Services & Consulting,3.7,1k-5k Employees,Jaipur +41 more
1114,ICA Edu Skills,Education & Training,3.8,1k-5k Employees,Kolkata +109 more
1115,Temenos,IT Services & Consulting,3.2,1k-5k Employees,Geneva +7 more
1116,Reliance Power,Power,4.2,1k-5k Employees,28 years old
1117,Hindustan Sanitaryware & Industries,Furniture & Furnishing,4.1,1k-5k Employees,63 years old
1118,Ugam Solution,IT Services & Consulting,3.6,1k-5k Employees,Mumbai +12 more
1119,Lowe's,Retail,4.3,1k-5k Employees,77 years old
1120,NetAmbit,FinTech,3.4,501-1k Employees,Noida +71 more
1121,Sagility,BPO,4.0,10k-50k Employees,
1122,Royal Sundaram General Insurance,Insurance,4.0,1k-5k Employees,Chennai +85 more
1123,Amazon Services,Hyderabad/Secunderabad +40 more,4.2,,
1124,Ageas Federal Life Insurance,Insurance,3.7,501-1k Employees,Kottayam +105 more
1125,Quest Retail Private Limited,Retail,4.4,501-1k Employees,Gurgaon/Gurugram +65 more
1126,Samsung Research,Consumer Electronics & Appliances,3.4,1k-5k Employees,Noida +8 more
1127,Tanishq,Jewellery,4.2,1 Lakh+ Employees,Mumbai +131 more
1128,Steag Energy Services,Power,4.2,1k-5k Employees,Noida +29 more
1129,Collins Aerospace,Defence & Aerospace,4.0,1k-5k Employees,Bengaluru/Bangalore +5 more
1130,Athena BPO,BPO,3.2,201-500 Employees,Mumbai +22 more
1131,J B Chemicals And Pharmaceuticals,Pharma,3.9,1k-5k Employees,47 years old
1132,Asirvad Microfinance,NBFC,3.9,5k-10k Employees,Kottayam +167 more
1133,Kurlon,Furniture & Furnishing,4.3,1k-5k Employees,Bengaluru/Bangalore +79 more
1134,Nityo Infotech,IT Services & Consulting,3.2,501-1k Employees,Noida +26 more
1135,NetCracker,IT Services & Consulting,3.2,1k-5k Employees,Hyderabad/Secunderabad +7 more
1136,Velocis Systems,IT Services & Consulting,4.0,1k-5k Employees,Noida +38 more
1137,L&T Power,Power,3.8,1k-5k Employees,17 years old
1138,Stanza Living,Internet,2.9,501-1k Employees,6 years old
1139,Jio Platforms,IT Services & Consulting,3.7,10k-50k Employees,
1140,Signify,Consumer Electronics & Appliances,3.7,1k-5k Employees,93 years old
1141,NBC Bearings,Auto Components,3.9,1-10 Employees,77 years old
1142,Indiabulls Ventures,Financial Services,3.6,1k-5k Employees,28 years old
1143,The Lalit,Hospitality,3.9,1k-5k Employees,New Delhi +28 more
1144,SBFC Finance,Financial Services,3.7,501-1k Employees,Mumbai +135 more
1145,Tata Consumer Products,FMCG,3.9,1k-5k Employees,61 years old
1146,Volvo,Automobile,4.2,1k-5k Employees,25 years old
1147,Tata Starbucks,Retail,4.3,1k-5k Employees,Seattle +31 more
1148,Arohan Financial Services,Financial Services,4.0,5k-10k Employees,Kolkata +130 more
